category,source,url,cities,data_to_collect,purpose,priority,notes
sale,DIM.RIA продаж,https://dom.ria.com/uk/prodazha-kvartir/,"Одеса; Дніпро","price; district; address; area; rooms; floor; condition; photos; date; verification","main sale listings",1,"large marketplace with verified listings"
sale,DIM.RIA Одеса до 45k,https://dom.ria.com/prodazha-kvartir/odessa-45000usd/,Одеса,"filtered sale listings under 45000 USD","quick Odessa baseline",1,"ready budget filter"
sale,LUN продаж,https://lun.ua/sale,"Одеса; Дніпро","aggregated listings; map; district; complex; price","market map and duplicate detection",1,"often blocks plain HTTP scraping"
sale,LUN Одеса до 45k,https://lun.ua/sale/odesa/flats-45000-usd,Одеса,"filtered sale listings under 45000 USD","quick Odessa baseline",1,"often blocks plain HTTP scraping"
sale,OLX Нерухомість,https://www.olx.ua/uk/nedvizhimost/,"Одеса; Дніпро","owner/agent listings; price; description; contacts","largest raw classified source",1,"needs strong duplicate and scam checks"
sale,REM.ua,https://rem.ua/,"Одеса; Дніпро","sale and rent listings; district; price; area; contacts","additional real estate market source",2,"use for cross-checking sale prices"
new_build,DIM.RIA новобудови,https://dom.ria.com/uk/novostroyki/,"Одеса; Дніпро","complex; developer; price per m2; status; accreditation","primary-market options and program fit",1,"check eligibility for voucher/program"
new_build,DIM.RIA новобудови Одеси,https://dom.ria.com/uk/novostroyki/kvartiry-odessa/,Одеса,"complexes; developer contacts; prices","Odessa new-build baseline",1,"city-specific starting point"
new_build,LUN новобудови,https://lun.ua/uk,"Одеса; Дніпро","complex; developer; map; prices","new-build map and comparison",2,"good for area overview"
rent,DIM.RIA оренда,https://dom.ria.com/uk/arenda-kvartir/,"Одеса; Дніпро","monthly rent; district; condition; area; furniture","long-term rent yield estimate",1,"main rent benchmark"
rent,OLX оренда,https://www.olx.ua/uk/nedvizhimost/kvartiry/dolgosrochnaya-arenda-kvartir/,"Одеса; Дніпро","rent price; comparable listings; owner/agent","raw rental market",1,"needs duplicate checks"
rent,LUN оренда,https://lun.ua/rent,"Одеса; Дніпро","aggregated rent; map; district","rent benchmark and map",1,"cross-check rental rate"
rent,REM.ua оренда,https://rem.ua/,"Одеса; Дніпро","long-term rent; district; price; area","additional rent benchmark",2,"use for cross-checking rent rates"
